Asset,Strategy,Feature Set,Window,Threshold,Train Sharpe,Train Volatility,Train Max DD,Train Signal Accuracy,Train Signal Precision,Train Signal Recall,Test Sharpe,Test Volatility,Test Max DD,Test Signal Accuracy,Test Signal Precision,Test Signal Recall
XOM,Mean Reversion,,4.0,6.0,0.8530909910041135,0.04441149860956108,-0.01718518220777754,0.49516770892552586,0.7777777777777778,0.007838745800671893,-0.7986076057940149,0.014427808670692264,-0.034215064406014295,0.4860927152317881,0.0,0.0
XOM,Momentum + Trend Strength,,18.0,,0.4417410477375205,0.17343542723390898,-0.22192445713539902,0.5122228538942581,0.5268817204301075,0.3840985442329227,-0.29327128159056637,0.13520441105408765,-0.29934838735440233,0.4781456953642384,0.4852941176470588,0.34196891191709844
XOM,Momentum + Rolling Volatility,,22.0,4.0,0.6964863724857843,0.19478985206253094,-0.31920942814868386,0.5315520181921546,0.538037486218302,0.5464725643896976,-0.3694084825177804,0.15908527651684204,-0.27578626541704276,0.49271523178807947,0.5038560411311054,0.5077720207253886
XOM,Momentum + Volume Ratio,,16.0,,0.37376913472181766,0.13799466325278298,-0.27214283366691816,0.5144968732234224,0.5522788203753352,0.23068309070548712,-1.188558103317112,0.10420457003335272,-0.34907708399290127,0.46225165562913906,0.43333333333333335,0.16839378238341968
XOM,Logistic Regression,v1,,,0.4256546946318732,0.22475825304379973,-0.3798494484281742,0.5150653780557135,0.5159744408945687,0.723404255319149,0.48583406808549423,0.19222168833454265,-0.20235404837848536,0.519205298013245,0.5197255574614065,0.7849740932642487
XOM,Random Forest,v1,,,8.66790989724126,0.18656179798089342,0.0,0.984650369528141,1.0,0.9697648376259799,1.0233293269162147,0.16584854497901155,-0.13110626188040422,0.5403973509933775,0.5486284289276808,0.5699481865284974
GLD,Momentum,,4.0,,0.6441014920078937,0.09974762968205646,-0.20636559286897344,0.5082433200682206,0.5364308342133052,0.5438972162740899,1.4721771007771154,0.1328894256815589,-0.11064646115660566,0.5072847682119205,0.5568181818181818,0.580568720379147
GLD,Mean Reversion,,42.0,6.0,0.5765341857804726,0.022770429630217328,-0.019486923914670662,0.47356452529846504,0.6666666666666666,0.017130620985010708,,0.0,0.0,0.4410596026490066,0.0,0.0
GLD,Momentum + Trend Strength,,16.0,,0.3936558774233346,0.08473550366317115,-0.12709908556091318,0.5059693007390563,0.5544388609715243,0.354389721627409,0.5974556288815346,0.1272069751624831,-0.12636837088725442,0.48741721854304637,0.544529262086514,0.5071090047393365
GLD,Momentum + Rolling Volatility,,48.0,4.0,0.6318236389300491,0.10702702671982266,-0.16632564833187116,0.51847640704946,0.5453597497393118,0.5599571734475375,1.5876719666372852,0.14991778658940988,-0.10127740838500286,0.5377483443708609,0.56672760511883,0.7345971563981043
GLD,Momentum + Volume Ratio,,48.0,,0.49446239738657416,0.07101680167620082,-0.1374848666278378,0.4872086412734508,0.5394088669950738,0.23447537473233404,1.110553474101234,0.10833554610720988,-0.07704076992414269,0.4821192052980132,0.5665236051502146,0.3127962085308057
GLD,Logistic Regression,v1,,,0.523356175568981,0.13284966730191156,-0.18973310064794557,0.5247299602046618,0.5300245098039216,0.9261241970021413,2.088725439363698,0.15022093038413967,-0.11347406182165165,0.5536423841059602,0.5591098748261474,0.95260663507109
GLD,Random Forest,v1,,,9.777010101128669,0.08261896372389631,0.0,0.9829448550312677,1.0,0.9678800856531049,2.1118946569864283,0.10617008726301891,-0.10017280921174325,0.5258278145695364,0.5851063829787234,0.5213270142180095
JNJ,Momentum,,16.0,,0.32275031598450094,0.1196113990938928,-0.18109866832569607,0.48834565093803295,0.5029644268774703,0.5618101545253863,1.396559147569592,0.11816439092635955,-0.06809347970293238,0.5417218543046357,0.5652173913043478,0.5279187817258884
JNJ,Mean Reversion,,42.0,12.0,0.6722157326544673,0.0677821364939368,-0.07298356864246919,0.48834565093803295,0.875,0.00772626931567329,,0.0,0.0,0.4781456953642384,0.0,0.0
JNJ,Momentum + Trend Strength,,26.0,,0.21032128445025539,0.10260152174764621,-0.264621755236561,0.48834565093803295,0.5037128712871287,0.4492273730684327,0.554162056527124,0.11146741904019192,-0.12596994585136645,0.5205298013245033,0.5509554140127388,0.43908629441624364
JNJ,Momentum + Rolling Volatility,,18.0,6.0,0.30931795994177286,0.12079760692209575,-0.1755832166090859,0.49516770892552586,0.5088408644400786,0.5717439293598234,0.6712886598937514,0.12953149185983767,-0.16816984260442405,0.528476821192053,0.550531914893617,0.5253807106598984
JNJ,Momentum + Volume Ratio,,26.0,,-0.05552576789643884,0.0763142954161459,-0.19316935280798134,0.48891415577032404,0.5092838196286472,0.2119205298013245,-0.034143643955453606,0.09359425722224307,-0.22349951122911438,0.4966887417218543,0.5426829268292683,0.22588832487309646
JNJ,Logistic Regression,v1,,,0.533447117309163,0.18390095561754596,-0.2782648521005334,0.519613416714042,0.5184067592033796,0.9481236203090507,0.36402197765155225,0.16424670982596837,-0.2218791504882434,0.5218543046357615,0.5241581259150805,0.9086294416243654
JNJ,Random Forest,v1,,,8.780130797600126,0.11459409357657273,0.0,0.9857873791927232,1.0,0.9724061810154525,0.728083350617933,0.12227954494036672,-0.13098311488850312,0.528476821192053,0.5465686274509803,0.565989847715736
SCCO,Momentum,,36.0,,0.8596802638665978,0.23937290614296816,-0.44067914463308994,0.504263786242183,0.5166666666666667,0.5486725663716814,0.41687979651864354,0.2756173521856604,-0.27667645665321533,0.46357615894039733,0.4948717948717949,0.48129675810473815
SCCO,Mean Reversion,,4.0,6.0,0.8390361908677916,0.0789574851889962,-0.005603977666968851,0.48834565093803295,0.75,0.00663716814159292,-0.4106117312830368,0.028439871074066883,-0.047481107806093666,0.4688741721854305,0.5,0.004987531172069825
